date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:55:29	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1665765069-ssl-df	https://jocular-mooncake-185fc3.netlify.app/robots.txt		(from )
08:55:30	21776/21776	---MCZ	200	added ('OK')	text/html	etag:%2223f4f4ab04ac65371aa768ea970f13f8-ssl-df%22	https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/index9342.html	(from )
08:55:30	3006/3006	---M--	200	added ('OK')	image/png	etag:%22ea6b8b32ef203cac816621b2d9ca1fdd-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/logo.png	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/logo.png	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:31	27845/27845	---MCZ	200	added ('OK')	text/css	etag:%22009567311dff8ad70214608d27272439-ssl-df%22	https://jocular-mooncake-185fc3.netlify.app/css/app.min.css	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/css/app.min.css	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:31	345/345	---M--	200	added ('OK')	application/javascript	etag:%22789f4e47938836fa5d7cb4308eb4eb98-ssl%22	https://jocular-mooncake-185fc3.netlify.app/js/script.js	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/js/script.js	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:32	270243/270243	---M--	200	added ('OK')	image/jpeg	etag:%22c8003afbfdacccbcc34ced89333e7153-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/main-picture.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/main-picture.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:32	82565/82565	---M--	200	added ('OK')	image/jpeg	etag:%22a743281df8107aacebcda374aed275e0-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/mic.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/mic.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:32	399304/399304	---M--	200	added ('OK')	image/jpeg	etag:%2231593dd2288a1c79a89b9d3a77fa2075-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/video-img.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/video-img.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:33	173861/173861	---M--	200	added ('OK')	image/jpeg	etag:%22c13d2a730fbbff6485624d18fa061e15-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/cards-img-mask.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/cards-img-mask.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:33	1131374/1131374	---M--	200	added ('OK')	image/jpeg	etag:%22c08f3206d53254855dbfd6e1a0457301-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/cards-img-moon.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/cards-img-moon.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:33	146844/146844	---M--	200	added ('OK')	image/jpeg	etag:%229388043e378105ed61193575cb84becd-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/cards-img-sparkle.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/cards-img-sparkle.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
08:55:34	88563/88563	---M--	200	added ('OK')	image/jpeg	etag:%221efb3cab604a3e0603eb2199020da1b5-ssl%22	https://jocular-mooncake-185fc3.netlify.app/img/cards-img-neon.jpeg	C:/Meus%20Sites/movimente/jocular-mooncake-185fc3.netlify.app/img/cards-img-neon.jpg	(from https://jocular-mooncake-185fc3.netlify.app/?fbclid=IwAR3IAd7iIRuRkUA2__W_a1BlLC3bCZ_Yt-ntEqjD0C7UgASacl86-_rPdDw)
